experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath
High,P_180612113450,1,1,1,1,183.8551,187.2,Example,0,FFFF00,TriangleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,Success,FFFF00,CircleTarget,DetectPos,,184.28,184.6,186.74,0.5327837,0.5917197,1,High/P_180612113450/S001/visual_pointer_movement_T001.csv,High/P_180612113450/S001/collision_pointer_movement_T001.csv
High,P_180612113450,1,2,1,2,189.3768,191.74,Example,0,00FFFF,TriangleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectPos,,189.88,190.22,191.44,0.3548512,0.5638406,2,High/P_180612113450/S001/visual_pointer_movement_T002.csv,High/P_180612113450/S001/collision_pointer_movement_T002.csv
High,P_180612113450,1,3,1,3,203.8128,204.56,Example,0,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,HitObstacle,,,DetectPos,Obstacle,204.36,,,0.3926776,,,High/P_180612113450/S001/visual_pointer_movement_T003.csv,High/P_180612113450/S001/collision_pointer_movement_T003.csv
High,P_180612113450,1,4,1,4,211.9365,212.7842,Example,0,00FFFF,TriangleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,212.28,,,0.5319116,,,High/P_180612113450/S001/visual_pointer_movement_T004.csv,High/P_180612113450/S001/collision_pointer_movement_T004.csv
High,P_180612113450,1,5,2,1,222.8512,225.223,Practice,0,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,TimeoutStartMoved,,,,VisualPointer,224.72,,,0.5059631,,,High/P_180612113450/S001/visual_pointer_movement_T005.csv,High/P_180612113450/S001/collision_pointer_movement_T005.csv
High,P_180612113450,1,6,2,2,228.9892,231.48,Practice,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|CircleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectPos,,229.66,230.08,231.08,0.3865482,0.4431465,1,High/P_180612113450/S001/visual_pointer_movement_T006.csv,High/P_180612113450/S001/collision_pointer_movement_T006.csv
High,P_180612113450,1,7,2,3,233.7993,236.46,Practice,0,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,Success,FF00FF,SquareTarget,DetectPos,,234.46,234.96,235.98,0.5921324,0.5209261,2,High/P_180612113450/S001/visual_pointer_movement_T007.csv,High/P_180612113450/S001/collision_pointer_movement_T007.csv
High,P_180612113450,1,8,2,4,238.5177,239.4258,Practice,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,238.92,,,0.4303581,,,High/P_180612113450/S001/visual_pointer_movement_T008.csv,High/P_180612113450/S001/collision_pointer_movement_T008.csv
High,P_180612113450,1,9,2,5,242.4701,244.96,Practice,0,FFFF00,SquareTarget,00FFFF|FFFF00|FF00FF,CircleTarget|SquareTarget|TriangleTarget,Success,FFFF00,SquareTarget,DetectPos,,243.14,243.56,244.58,0.4859356,0.5578499,3,High/P_180612113450/S001/visual_pointer_movement_T009.csv,High/P_180612113450/S001/collision_pointer_movement_T009.csv
High,P_180612113450,1,10,2,6,246.4934,248.8,Practice,0,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,CircleTarget|SquareTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectPos,,247.1,247.6,248.4,0.5120065,0.3635556,4,High/P_180612113450/S001/visual_pointer_movement_T010.csv,High/P_180612113450/S001/collision_pointer_movement_T010.csv
High,P_180612113450,1,11,3,1,256.3859,257.9246,PosToNeg,0.9,FFFF00,TriangleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,TimeoutStartMoved,,,DetectNeg,VisualPointer,257.42,,,0.3029935,,,High/P_180612113450/S001/visual_pointer_movement_T011.csv,High/P_180612113450/S001/collision_pointer_movement_T011.csv
High,P_180612113450,1,12,3,2,260.2016,262.5,PosToNeg,0.8357143,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,CircleTarget,DetectNeg,,260.78,261.1,262.04,0.301177,0.3223865,1,High/P_180612113450/S001/visual_pointer_movement_T012.csv,High/P_180612113450/S001/collision_pointer_movement_T012.csv
High,P_180612113450,1,13,3,3,264.387,266.74,PosToNeg,0.7714285,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,TriangleTarget,DetectNeg,,265.02,265.4,266.3,0.3822652,0.4761586,2,High/P_180612113450/S001/visual_pointer_movement_T013.csv,High/P_180612113450/S001/collision_pointer_movement_T013.csv
High,P_180612113450,1,14,3,4,268.9136,270.94,PosToNeg,0.7071428,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,269.36,269.74,270.52,0.5864177,0.3922811,3,High/P_180612113450/S001/visual_pointer_movement_T014.csv,High/P_180612113450/S001/collision_pointer_movement_T014.csv
High,P_180612113450,1,15,3,5,272.8245,274.6,PosToNeg,0.6428571,FFFF00,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,Success,FFFF00,SquareTarget,DetectNeg,,273.24,273.56,274.3,0.3204601,0.393049,4,High/P_180612113450/S001/visual_pointer_movement_T015.csv,High/P_180612113450/S001/collision_pointer_movement_T015.csv
High,P_180612113450,1,16,3,6,276.4953,278.64,PosToNeg,0.5785714,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectNeg,,277.06,277.4,278.28,0.4329661,0.4998153,5,High/P_180612113450/S001/visual_pointer_movement_T016.csv,High/P_180612113450/S001/collision_pointer_movement_T016.csv
High,P_180612113450,1,17,3,7,280.6347,282.52,PosToNeg,0.5142857,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,281.2,281.52,282.18,0.5305667,0.3088424,6,High/P_180612113450/S001/visual_pointer_movement_T017.csv,High/P_180612113450/S001/collision_pointer_movement_T017.csv
High,P_180612113450,1,18,3,8,284.2775,286.4,PosToNeg,0.45,FF00FF,CircleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectNeg,,284.84,285.18,286.06,0.3163255,0.5445858,7,High/P_180612113450/S001/visual_pointer_movement_T018.csv,High/P_180612113450/S001/collision_pointer_movement_T018.csv
High,P_180612113450,1,19,3,9,288.8401,291,PosToNeg,0.3857143,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,Success,00FFFF,SquareTarget,DetectNeg,,289.3,289.68,290.6,0.5898913,0.5859633,8,High/P_180612113450/S001/visual_pointer_movement_T019.csv,High/P_180612113450/S001/collision_pointer_movement_T019.csv
High,P_180612113450,1,20,3,10,292.8372,294.96,PosToNeg,0.3214286,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectNeg,,293.34,293.64,294.5,0.3331299,0.4055206,9,High/P_180612113450/S001/visual_pointer_movement_T020.csv,High/P_180612113450/S001/collision_pointer_movement_T020.csv
High,P_180612113450,1,21,3,11,296.3101,298.7,PosToNeg,0.2571428,00FFFF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,CircleTarget,DetectNeg,,296.88,297.26,298.18,0.3229603,0.4703634,10,High/P_180612113450/S001/visual_pointer_movement_T021.csv,High/P_180612113450/S001/collision_pointer_movement_T021.csv
High,P_180612113450,1,22,3,12,300.5026,302.56,PosToNeg,0.1928571,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,CircleTarget,DetectNeg,,301,301.46,302.14,0.356007,0.3668699,11,High/P_180612113450/S001/visual_pointer_movement_T022.csv,High/P_180612113450/S001/collision_pointer_movement_T022.csv
High,P_180612113450,1,23,3,13,304.494,306.82,PosToNeg,0.1285714,FFFF00,SquareTarget,FF00FF|FFFF00|00FFFF,CircleTarget|TriangleTarget|SquareTarget,Success,FFFF00,TriangleTarget,DetectNeg,,304.98,305.46,306.4,0.468245,0.4893809,12,High/P_180612113450/S001/visual_pointer_movement_T023.csv,High/P_180612113450/S001/collision_pointer_movement_T023.csv
