time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
502.1342,0.6641,-70.3906,1.4019,0,0,270
502.1425,0.6641,-70.3906,1.4019,0,0,270
502.152,0.6641,-70.3906,1.4019,0,0,270
502.1595,0.6641,-70.3906,1.4019,0,0,270
502.1688,0.6641,-70.3906,1.4019,0,0,270
502.1774,0.6641,-70.3906,1.4019,0,0,270
502.1873,0.6641,-70.3906,1.4019,0,0,270
502.1942,0.6641,-70.3906,1.4019,0,0,270
502.204,0.6641,-70.3906,1.4019,0,0,270
502.213,0.6641,-70.3906,1.4019,0,0,270
502.2216,0.6641,-70.3906,1.4019,0,0,270
502.2319,0.6641,-70.3906,1.4019,0,0,270
502.2405,0.6641,-70.3906,1.4019,0,0,270
502.2502,0.6641,-70.3906,1.4019,0,0,270
502.2572,0.6641,-70.3906,1.4019,0,0,270
502.2671,0.6641,-70.3906,1.4019,0,0,270
502.2757,0.6641,-70.3906,1.4019,0,0,270
502.2848,0.6641,-70.3906,1.4019,0,0,270
502.2919,0.6641,-70.3906,1.4019,0,0,270
502.3029,0.6641,-70.3906,1.4019,0,0,270
502.3104,0.6641,-70.3906,1.4019,0,0,270
502.3196,0.6641,-70.3906,1.4019,0,0,270
502.3278,0.6641,-70.3906,1.4019,0,0,270
502.3369,0.6641,-70.3906,1.4019,0,0,270
502.3457,0.6641,-70.3906,1.4019,0,0,270
502.3553,0.6641,-70.3906,1.4019,0,0,270
502.3655,0.6641,-70.3906,1.4019,0,0,270
502.3732,0.6641,-70.3906,1.4019,0,0,270
502.3831,0.6641,-70.3906,1.4019,0,0,270
502.3903,0.6641,-70.3906,1.4019,0,0,270
502.401,0.6641,-70.3906,1.4019,0,0,270
502.4083,0.6641,-70.3906,1.4019,0,0,270
502.4177,0.6641,-70.3906,1.4019,0,0,270
502.426,0.6641,-70.3906,1.4019,0,0,270
502.4363,0.6641,-70.3906,1.4019,0,0,270
502.4436,0.6641,-70.3906,1.4019,0,0,270
502.4532,0.6641,-70.3906,1.4019,0,0,270
502.4608,0.6641,-70.3906,1.4019,0,0,270
502.4712,0.6641,-70.3906,1.4019,0,0,270
