timestamp,log_type,message
19.63685,Log,Start color randomised
19.63685,Log,Start sprite randomised
19.63685,Log,Target colors randomised
19.63685,Log,Target sprites randomised
19.63685,Log,Start color randomised
19.63685,Log,Start sprite randomised
19.63685,Log,Target colors randomised
19.63685,Log,Target sprites randomised
19.63685,Log,Setting start & targets for negToPos
19.63685,Log,Start color randomised
19.63685,Log,Start sprite randomised
19.63685,Log,Target colors randomised
19.63685,Log,Target sprites randomised
19.63685,Log,Setting start & targets for posToNeg
19.63685,Log,Start color randomised
19.63685,Log,Start sprite randomised
19.63685,Log,Target colors randomised
19.63685,Log,Target sprites randomised
19.63685,Log,Setting start & targets for random
19.63685,Log,Start color randomised
19.63685,Log,Start sprite randomised
19.63685,Log,Target colors randomised
19.63685,Log,Target sprites randomised
19.63685,Log,Order of blocks:
19.63685,Log,Random
19.63685,Log,PosToNeg
19.63685,Log,NegToPos
19.63685,Log,Preparing trial number: 1
24.62582,Log,New State: Preparation
24.62582,Log,Destroying targets
24.62582,Log,Creating targets
30.2,Log,New State: Waiting
30.79829,Log,New State: Started
32.0498,Log,New State: MiddleStarted
32.94,Log,New State: Finished
32.94,Log,Correct
33.94312,Log,Preparing trial number: 2
33.94312,Log,New State: Preparation
35.26,Log,New State: Waiting
35.8529,Log,New State: Started
37.16588,Log,New State: MiddleStarted
37.88,Log,New State: Finished
37.88,Log,Correct
38.88666,Log,Preparing trial number: 3
43.88143,Log,New State: Preparation
44.9,Log,New State: Waiting
45.45132,Log,New State: Started
46.63143,Log,New State: MiddleStarted
47.6657,Log,New State: Finished
47.6657,Log,Failed: TimeoutMiddleMoved object: VisualPointer
48.66491,Log,Preparing trial number: 4
53.66215,Log,New State: Preparation
54.62,Log,New State: Waiting
55.15897,Log,New State: Started
56.35009,Log,New State: MiddleStarted
57.12,Log,New State: Finished
57.12,Log,Correct
58.1289,Log,Preparing trial number: 5
63.12622,Log,New State: Preparation
63.88,Log,New State: Waiting
64.40738,Log,New State: Started
65.77958,Log,New State: MiddleStarted
66.7,Log,New State: Finished
66.7,Log,Correct
67.70238,Log,Preparing trial number: 6
67.70238,Log,New State: Preparation
68.78,Log,New State: Waiting
69.3473,Log,New State: Started
70.6498,Log,New State: MiddleStarted
71.4,Log,New State: Finished
71.4,Log,Correct
72.40414,Log,Preparing trial number: 7
72.40414,Log,New State: Preparation
73.34,Log,New State: Waiting
73.89279,Log,New State: Started
75.11007,Log,New State: MiddleStarted
75.86,Log,New State: Finished
75.86,Log,Correct
76.86435,Log,Preparing trial number: 8
76.86435,Log,New State: Preparation
77.72,Log,New State: Waiting
78.08902,Log,New State: Started
79.36615,Log,New State: MiddleStarted
80.08,Log,New State: Finished
80.08,Log,Correct
81.08704,Log,Preparing trial number: 9
81.08704,Log,New State: Preparation
81.93999,Log,New State: Waiting
82.53866,Log,New State: Started
83.63304,Log,New State: MiddleStarted
84.38,Log,New State: Finished
84.38,Log,Correct
85.38598,Log,Preparing trial number: 10
85.38598,Log,New State: Preparation
86.32,Log,New State: Waiting
86.81144,Log,New State: Started
87.60415,Log,New State: Finished
87.60415,Log,Failed: TimeoutStartMoved object: VisualPointer
88.60727,Log,Preparing trial number: 11
93.60441,Log,New State: Preparation
97.82,Log,New State: Waiting
98.33691,Log,New State: Started
99.50494,Log,New State: MiddleStarted
100.28,Log,New State: Finished
100.28,Log,Correct
101.2827,Log,Preparing trial number: 12
101.2827,Log,New State: Preparation
102.44,Log,New State: Waiting
102.8242,Log,New State: Started
104.0768,Log,New State: MiddleStarted
104.94,Log,New State: Finished
104.94,Log,Correct
105.9443,Log,Preparing trial number: 13
105.9443,Log,New State: Preparation
106.5,Log,New State: Waiting
107.0745,Log,New State: Started
108.1419,Log,New State: MiddleStarted
108.84,Log,New State: Finished
108.84,Log,Correct
109.8462,Log,Preparing trial number: 14
109.8462,Log,New State: Preparation
110.42,Log,New State: Waiting
110.8832,Log,New State: Started
111.8918,Log,New State: MiddleStarted
112.6,Log,New State: Finished
112.6,Log,Correct
113.6053,Log,Preparing trial number: 15
113.6053,Log,New State: Preparation
114.32,Log,New State: Waiting
114.6591,Log,New State: Started
115.22,Log,New State: Finished
115.22,Log,Failed: HitObstacle object: Obstacle
116.223,Log,Preparing trial number: 16
116.223,Log,New State: Preparation
117.06,Log,New State: Waiting
117.55,Log,New State: Started
118.8336,Log,New State: MiddleStarted
119.48,Log,New State: Finished
119.48,Log,Correct
120.4884,Log,Preparing trial number: 17
120.4884,Log,New State: Preparation
121.12,Log,New State: Waiting
121.6088,Log,New State: Started
122.8753,Log,New State: MiddleStarted
123.5,Log,New State: Finished
123.5,Log,Correct
124.5004,Log,Preparing trial number: 18
124.5004,Log,New State: Preparation
125.22,Log,New State: Waiting
125.6562,Log,New State: Started
127.0586,Log,New State: MiddleStarted
127.76,Log,New State: Finished
127.76,Log,Correct
128.7634,Log,Preparing trial number: 19
128.7634,Log,New State: Preparation
129.56,Log,New State: Waiting
130.0619,Log,New State: Started
130.8,Log,New State: Finished
130.8,Log,Failed: MiddleMovedEarly object: IntermediateCircle
131.8106,Log,Preparing trial number: 20
131.8106,Log,New State: Preparation
133.1,Log,New State: Waiting
133.6786,Log,New State: Started
134.8087,Log,New State: MiddleStarted
135.42,Log,New State: Finished
135.42,Log,Correct
136.4269,Log,Preparing trial number: 21
136.4269,Log,New State: Preparation
137.06,Log,New State: Waiting
137.3929,Log,New State: Started
138.7368,Log,New State: MiddleStarted
139.42,Log,New State: Finished
139.42,Log,Correct
140.4209,Log,Preparing trial number: 22
140.4209,Log,New State: Preparation
141.08,Log,New State: Waiting
141.4319,Log,New State: Started
142.5909,Log,New State: MiddleStarted
143.4932,Log,New State: Finished
143.4932,Log,Failed: MouseLifted object: VisualPointer
144.4804,Log,Preparing trial number: 23
144.4804,Log,New State: Preparation
145.26,Log,New State: Waiting
145.7684,Log,New State: Started
146.905,Log,New State: MiddleStarted
147.54,Log,New State: Finished
147.54,Log,Incorrect
148.5428,Log,Preparing trial number: 24
148.5428,Log,New State: Preparation
149.16,Log,New State: Waiting
149.5791,Log,New State: Started
150.738,Log,New State: MiddleStarted
151.44,Log,New State: Finished
151.44,Log,Correct
152.4476,Log,Preparing trial number: 25
152.4476,Log,New State: Preparation
154.16,Log,New State: Waiting
154.552,Log,New State: Started
155.9968,Log,New State: MiddleStarted
156.64,Log,New State: Finished
156.64,Log,Correct
157.6452,Log,Preparing trial number: 26
157.6452,Log,New State: Preparation
158.3,Log,New State: Waiting
158.8348,Log,New State: Started
160.056,Log,New State: MiddleStarted
160.7,Log,New State: Finished
160.7,Log,Correct
161.7057,Log,Preparing trial number: 27
161.7057,Log,New State: Preparation
162.22,Log,New State: Waiting
162.6321,Log,New State: Started
163.6678,Log,New State: MiddleStarted
164.32,Log,New State: Finished
164.32,Log,Correct
165.3301,Log,Preparing trial number: 28
165.3301,Log,New State: Preparation
165.88,Log,New State: Waiting
166.4243,Log,New State: Started
167.4999,Log,New State: MiddleStarted
168.32,Log,New State: Finished
168.32,Log,Correct
169.3243,Log,Preparing trial number: 29
169.3243,Log,New State: Preparation
169.84,Log,New State: Waiting
170.2476,Log,New State: Started
171.3795,Log,New State: MiddleStarted
172.2379,Log,New State: Finished
172.2379,Log,Failed: MouseLifted object: VisualPointer
173.223,Log,Preparing trial number: 30
173.223,Log,New State: Preparation
173.78,Log,New State: Waiting
174.1864,Log,New State: Started
175.2898,Log,New State: MiddleStarted
175.92,Log,New State: Finished
175.92,Log,Correct
176.9251,Log,Preparing trial number: 31
176.9251,Log,New State: Preparation
177.4,Log,New State: Waiting
177.9217,Log,New State: Started
179.1673,Log,New State: MiddleStarted
179.9,Log,New State: Finished
179.9,Log,Correct
180.9046,Log,Preparing trial number: 32
180.9046,Log,New State: Preparation
181.42,Log,New State: Waiting
181.8047,Log,New State: Started
182.9693,Log,New State: MiddleStarted
183.62,Log,New State: Finished
183.62,Log,Correct
184.6223,Log,Preparing trial number: 33
184.6223,Log,New State: Preparation
185.16,Log,New State: Waiting
185.637,Log,New State: Started
186.8071,Log,New State: MiddleStarted
187.4,Log,New State: Finished
187.4,Log,Correct
188.4061,Log,Preparing trial number: 34
188.4061,Log,New State: Preparation
188.94,Log,New State: Waiting
189.3722,Log,New State: Started
190.3569,Log,New State: MiddleStarted
191,Log,New State: Finished
191,Log,Correct
192.0055,Log,Preparing trial number: 35
192.0055,Log,New State: Preparation
192.54,Log,New State: Waiting
192.9339,Log,New State: Started
194.0359,Log,New State: MiddleStarted
194.7,Log,New State: Finished
194.7,Log,Correct
195.7034,Log,Preparing trial number: 36
195.7034,Log,New State: Preparation
196.18,Log,New State: Waiting
196.4994,Log,New State: Started
197.7728,Log,New State: MiddleStarted
198.36,Log,New State: Finished
198.36,Log,Correct
199.3619,Log,Preparing trial number: 37
199.3619,Log,New State: Preparation
199.96,Log,New State: Waiting
200.2706,Log,New State: Started
201.3807,Log,New State: MiddleStarted
201.96,Log,New State: Finished
201.96,Log,Correct
202.9622,Log,Preparing trial number: 38
202.9622,Log,New State: Preparation
203.58,Log,New State: Waiting
204.0716,Log,New State: Started
205.362,Log,New State: MiddleStarted
206,Log,New State: Finished
