time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
546.7463,0.0416,-72.3828,0,0,0,270
546.7573,0.1148,-72.3828,0,0,0,270
546.765,0.166,-72.3497,0,0,0,270
546.7755,0.2356,-72.28,0,0,0,270
546.7873,0.2656,-72.25,0,0,0,270
546.7938,0.2656,-72.25,0,0,0,270
546.8054,0.2656,-72.25,0,0,0,270
546.8137,0.2656,-72.25,0,0,0,270
546.8223,0.2806,-72.2351,0,0,0,270
546.8306,0.3365,-72.1792,0,0,0,270
546.8409,0.3984,-72.1172,0,0,0,270
546.8513,0.3984,-72.1172,0,0,0,270
546.8591,0.3984,-72.1172,0,0,0,270
546.8699,0.3984,-72.1172,0,0,0,270
546.8793,0.3984,-72.1172,0,0,0,270
546.888,0.4518,-72.1172,0,0,0,270
546.8969,0.5109,-72.1172,0,0,0,270
546.9073,0.5312,-72.1172,0,0,0,270
546.9175,0.5312,-72.1172,0,0,0,270
546.9261,0.5312,-72.1172,0,0,0,270
546.937,0.5312,-72.1172,0,0,0,270
546.9446,0.5312,-72.0862,0,0,0,270
546.9562,0.5312,-72.0094,0,0,0,270
546.9639,0.5575,-71.9844,0,0,0,270
546.974,0.6243,-71.9844,0,0,0,270
546.9845,0.6641,-71.9844,0,0,0,270
546.9944,0.6641,-71.9844,0,0,0,270
547.0047,0.6641,-71.9844,0,0,0,270
547.0121,0.6641,-71.9844,0,0,0,270
547.0244,0.6641,-71.9844,0,0,0,270
547.0329,0.6641,-71.9844,0,0,0,270
547.0422,0.6641,-71.9844,0,0,0,270
547.0546,0.6641,-71.9844,0,0,0,270
547.0625,0.6641,-71.9844,0,0,0,270
547.0718,0.6641,-71.9844,0,0,0,270
547.0801,0.6641,-71.9844,0,0,0,270
547.0913,0.6641,-71.9844,0,0,0,270
547.0985,0.6641,-71.9844,0,0,0,270
547.1089,0.6641,-71.9844,0,0,0,270
547.1196,0.6641,-71.9844,0,0,0,270
547.1276,0.6641,-71.9343,0,0,0,270
547.1385,0.6641,-71.8614,0,0,0,270
547.1464,0.6641,-71.6812,0,0,0,270
547.1564,0.6641,-71.4159,0,0,0,270
547.165,0.6976,-71.018,0,0,0,270
547.1761,0.7715,-70.3535,0,0,0,270
547.1854,0.8327,-68.5829,0,0,0,270
547.194,0.8898,-66.129,0,0,0,270
547.2051,0.9638,-63.3552,0,0,0,270
547.2119,1.0088,-61.9603,0,0,0,270
547.2233,1.106,-59.5362,0,0,0,270
547.2313,1.2119,-57.6827,0,0,0,270
547.2407,1.3426,-55.2481,0,0,0,270
547.252,1.5681,-49.008,0,0,0,270
547.2599,1.725,-44.6694,0,0,0,270
547.2716,1.4173,-37.4338,0,0,0,270
547.2779,1.2516,-33.5813,0,0,0,270
547.2902,1.0605,-28.9696,0,0,0,270
547.2975,0.9632,-26.586,0,0,0,270
547.3082,0.8214,-23.0596,0,0,0,270
547.3163,0.7122,-20.3279,0,0,0,270
547.3256,0.6641,-15.3335,0,0,0,270
547.3367,0.6641,-7.8139,0,0,0,270
547.3448,0.5998,-3.9709,0,0,0,270
547.3571,0.4366,0.1083,0,0,0,270
547.3635,0.3286,3.182,0,0,0,270
547.3735,0.1299,9.2093,0,0,0,270
547.3817,-0.0116,13.6002,0,0,0,270
547.3923,-0.0814,16.3248,0,0,0,270
547.4023,-0.1328,18.8881,0,0,0,270
547.4124,-0.1328,21.375,0,0,0,270
547.4207,-0.1284,23.5429,0,0,0,270
547.43,-0.0665,27.7499,0,0,0,270
547.4391,-0.0054,31.9032,0,0,0,270
547.4496,0,34.1925,0,0,0,270
547.459,0,36.0661,0,0,0,270
547.4662,-0.0833,38.3393,0,0,0,270
547.4771,-0.2269,41.9293,0,0,0,270
547.4877,-0.2656,43.9155,0,0,0,270
547.495,-0.2656,44.8884,0,0,0,270
547.5056,-0.3028,46.2236,0,0,0,270
547.5156,-0.3695,47.425,0,0,0,270
547.5271,-0.5398,49.2646,0,0,0,270
547.5365,-0.7274,51.0157,0,0,0,270
547.5461,-0.8377,52.1947,0,0,0,270
547.5568,-0.9082,53.111,0,0,0,270
547.5657,-1.0062,54.3469,0,0,0,270
547.576,-1.1429,56.056,0,0,0,270
547.5864,-1.1529,57.2204,0,0,0,270
547.5942,-1.1008,57.8446,0,0,0,270
547.6052,-1.0625,58.7222,0,0,0,270
547.613,-1.0625,59.34,0,0,0,270
547.6229,-0.9862,60.3181,0,0,0,270
547.6321,-0.7418,61.6625,0,0,0,270
547.6427,-0.5133,62.9995,0,0,0,270
547.6526,-0.4473,63.6598,0,0,0,270
547.6597,-0.4002,64.1313,0,0,0,270
547.6718,-0.0864,65.3968,0,0,0,270
547.6789,0.1044,66.1597,0,0,0,270
547.6909,0.2776,66.7802,0,0,0,270
547.6987,0.3813,67.1431,0,0,0,270
547.7102,0.534,68.0163,0,0,0,270
547.7175,0.6313,68.6006,0,0,0,270
547.7286,0.7209,69.0242,0,0,0,270
547.7397,0.7949,69.3202,0,0,0,270
547.7463,0.7969,69.5367,0,0,0,270
547.7573,0.7969,69.9043,0,0,0,270
547.7673,0.7969,70.0409,0,0,0,270
547.7761,0.7969,70.0994,0,0,0,270
547.787,0.7969,70.172,0,0,0,270
547.7942,0.7969,70.2195,0,0,0,270
547.8044,0.7969,70.3163,0,0,0,270
547.8126,0.7969,70.425,0,0,0,270
547.8229,0.7969,70.5235,0,0,0,270
547.8306,0.7969,70.5235,0,0,0,270
547.8413,0.7969,70.5235,0,0,0,270
547.8495,0.7969,70.5235,0,0,0,270
547.8589,0.7969,70.5235,0,0,0,270
547.8707,0.7969,70.5947,0,0,0,270
547.8778,0.7969,70.6417,0,0,0,270
547.8878,0.7969,70.6563,0,0,0,270
547.8963,0.7969,70.6563,0,0,0,270
547.9082,0.7969,70.6563,0,0,0,270
547.9147,0.7969,70.6563,0,0,0,270
547.9251,0.7969,70.6904,0,0,0,270
547.9354,0.7969,70.7589,0,0,0,270
547.9429,0.7969,70.7891,0,0,0,270
547.9551,0.7969,70.7891,0,0,0,270
547.963,0.7969,70.7891,0,0,0,270
547.9724,0.7969,70.7891,0,0,0,270
547.9802,0.7969,70.7891,0,0,0,270
547.9904,0.7969,70.7891,0,0,0,270
547.9995,0.7969,70.7891,0,0,0,270
548.0099,0.7969,70.855,0,0,0,270
548.0197,0.7969,70.92,0,0,0,270
548.0275,0.7969,70.9219,0,0,0,270
548.0381,0.7969,70.9219,0,0,0,270
548.0466,0.7969,70.9219,0,0,0,270
548.0565,0.7969,70.9219,0,0,0,270
548.066,0.7969,70.9219,0,0,0,270
