time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1485.66,1.6895,-69.1686,0,0,0,270
1485.67,1.6895,-69.1666,0,0,0,270
1485.68,1.6895,-69.1454,0,0,0,270
1485.69,1.7164,-69.1155,0,0,0,270
1485.7,1.779,-69.0625,0,0,0,270
1485.71,1.779,-69.0625,0,0,0,270
1485.72,1.8042,-69.0625,0,0,0,270
1485.73,1.807,-69.0625,0,0,0,270
1485.74,1.807,-69.0625,0,0,0,270
1485.75,1.807,-69.0625,0,0,0,270
1485.76,1.807,-69.0385,0,0,0,270
1485.77,1.781,-69.0271,0,0,0,270
1485.78,1.7554,-69.0271,0,0,0,270
1485.79,1.7399,-69.0271,0,0,0,270
1485.8,1.7322,-69.0271,0,0,0,270
1485.81,1.7063,-69.0271,0,0,0,270
1485.82,1.6784,-69.0271,0,0,0,270
1485.83,1.6783,-69.0568,0,0,0,270
1485.84,1.6783,-69.0625,0,0,0,270
1485.85,1.6598,-69.0741,0,0,0,270
1485.86,1.6503,-69.0801,0,0,0,270
1485.87,1.6503,-69.1039,0,0,0,270
1485.88,1.6503,-69.1155,0,0,0,270
1485.89,1.6503,-69.1155,0,0,0,270
1485.9,1.6503,-69.1225,0,0,0,270
1485.91,1.6503,-69.1509,0,0,0,270
1485.92,1.6503,-69.1678,0,0,0,270
1485.93,1.6503,-69.1952,0,0,0,270
1485.94,1.6503,-69.2309,0,0,0,270
1485.95,1.626,-69.2393,0,0,0,270
1485.96,1.6021,-69.2486,0,0,0,270
1485.97,1.5888,-69.2931,0,0,0,270
1485.98,1.5748,-69.3101,0,0,0,270
1485.99,1.5608,-69.3231,0,0,0,270
1486,1.5545,-69.3454,0,0,0,270
1486.01,1.5272,-69.3781,0,0,0,270
1486.02,1.5021,-69.3808,0,0,0,270
1486.03,1.4992,-69.3808,0,0,0,270
1486.04,1.4775,-69.3945,0,0,0,270
1486.05,1.4521,-69.3985,0,0,0,270
1486.06,1.4214,-69.3575,0,0,0,270
1486.07,1.3827,-69.2614,0,0,0,270
1486.08,1.3393,-69.1406,0,0,0,270
1486.09,1.281,-68.9513,0,0,0,270
1486.1,1.2495,-68.838,0,0,0,270
1486.11,1.0258,-68.0241,0,0,0,270
1486.12,0.7743,-66.8837,0,0,0,270
1486.13,0.5858,-65.8817,0,0,0,270
1486.14,0.3523,-64.5094,0,0,0,270
1486.15,0.118,-62.9098,0,0,0,270
1486.16,-0.1178,-60.9477,0,0,0,270
1486.17,-0.3117,-59.1532,0,0,0,270
1486.18,-0.479,-57.2937,0,0,0,270
1486.19,-0.7992,-53.1941,0,0,0,270
1486.2,-0.8935,-51.5243,0,0,0,270
1486.21,-1.1098,-43.8558,0,0,0,270
1486.22,-1.0791,-36.1369,0,0,0,270
1486.23,-0.8445,-29.8078,0,0,0,270
1486.24,-0.6335,-25.2257,0,0,0,270
1486.25,-0.3944,-21.3137,0,0,0,270
1486.26,0.0177,-15.3628,0,0,0,270
1486.27,0.5369,-8.44,0,0,0,270
1486.28,1.0481,-1.5705,0,0,0,270
1486.29,1.3263,2.3591,0,0,0,270
1486.3,1.6878,8.2624,0,0,0,270
1486.31,1.9818,16.1818,0,0,0,270
1486.32,2.0547,21.7789,0,0,0,270
1486.33,1.5216,32.6904,0,0,0,270
1486.34,1.5216,32.6904,0,0,0,270
1486.35,1.2958,36.3281,0,0,0,270
1486.36,1.1759,38.9454,0,0,0,270
1486.37,1.0937,41.2415,0,0,0,270
1486.38,1.0647,43.6024,0,0,0,270
1486.39,1.0312,46.9349,0,0,0,270
1486.4,0.9897,49.5102,0,0,0,270
1486.41,0.9233,51.9634,0,0,0,270
1486.42,0.7351,53.9568,0,0,0,270
1486.43,0.4046,56.2331,0,0,0,270
1486.44,-0.2717,58.2199,0,0,0,270
1486.45,-1.3662,59.999,0,0,0,270
1486.46,-1.3662,59.999,0,0,0,270
1486.47,-1.7634,60.6139,0,0,0,270
