experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180717113442,1,1,1,1,5687.902,5692.81,Example,0,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,5,1,Success,FF00FF,SquareTarget,DetectNeg,,5689.3,5690.4,5692.15,0.4674338,0.4060739,1,High/P_180717113442/S001/visual_pointer_movement_T001.csv,High/P_180717113442/S001/collision_pointer_movement_T001.csv,High/P_180717113442/S001/tablet_pixels_T001.csv
High,P_180717113442,1,2,1,2,5695.623,5699.41,Example,0,FFFF00,CircleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,5,1,Success,FFFF00,SquareTarget,DetectNeg,,5696.72,5697.67,5698.89,0.5072362,0.3664776,2,High/P_180717113442/S001/visual_pointer_movement_T002.csv,High/P_180717113442/S001/collision_pointer_movement_T002.csv,High/P_180717113442/S001/tablet_pixels_T002.csv
High,P_180717113442,1,3,1,3,5702.235,5703.68,Example,0,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,5,1,HitObstacle,,,DetectNeg,Obstacle,5703.19,,,0.5739898,,,High/P_180717113442/S001/visual_pointer_movement_T003.csv,High/P_180717113442/S001/collision_pointer_movement_T003.csv,High/P_180717113442/S001/tablet_pixels_T003.csv
High,P_180717113442,1,4,1,4,5707.988,5710.036,Example,0,FF00FF,CircleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,0.6,1,TimeoutStartMoved,,,,VisualPointer,5709.43,,,0.4124599,,,High/P_180717113442/S001/visual_pointer_movement_T004.csv,High/P_180717113442/S001/collision_pointer_movement_T004.csv,High/P_180717113442/S001/tablet_pixels_T004.csv
High,P_180717113442,1,5,2,1,5722.696,5725.73,Practice,0,00FFFF,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,00FFFF,SquareTarget,DetectNeg,,5723.38,5724.12,5725.27,0.4064065,0.4575187,1,High/P_180717113442/S001/visual_pointer_movement_T005.csv,High/P_180717113442/S001/collision_pointer_movement_T005.csv,High/P_180717113442/S001/tablet_pixels_T005.csv
High,P_180717113442,1,6,2,2,5730.096,5733.43,Practice,0,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,TriangleTarget,DetectPos,,5730.69,5731.36,5732.81,0.5933871,0.5884401,2,High/P_180717113442/S001/visual_pointer_movement_T006.csv,High/P_180717113442/S001/collision_pointer_movement_T006.csv,High/P_180717113442/S001/tablet_pixels_T006.csv
High,P_180717113442,1,7,2,3,5737.549,5740.86,Practice,0,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,SquareTarget,DetectPos,,5738.22,5739.05,5740.07,0.4072612,0.5373067,3,High/P_180717113442/S001/visual_pointer_movement_T007.csv,High/P_180717113442/S001/collision_pointer_movement_T007.csv,High/P_180717113442/S001/tablet_pixels_T007.csv
High,P_180717113442,1,8,2,4,5744.882,5748,Practice,0,FF00FF,CircleTarget,FFFF00|FF00FF|00FFFF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg,,5746.19,5746.72,5747.6,0.3406336,0.367914,4,High/P_180717113442/S001/visual_pointer_movement_T008.csv,High/P_180717113442/S001/collision_pointer_movement_T008.csv,High/P_180717113442/S001/tablet_pixels_T008.csv
High,P_180717113442,1,9,2,5,5752.728,5755.99,Practice,0,FFFF00,CircleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FFFF00,SquareTarget,DetectNeg,,5753.77,5754.46,5755.39,0.4981604,0.4576941,5,High/P_180717113442/S001/visual_pointer_movement_T009.csv,High/P_180717113442/S001/collision_pointer_movement_T009.csv,High/P_180717113442/S001/tablet_pixels_T009.csv
High,P_180717113442,1,10,2,6,5760.298,5763.44,Practice,0,FFFF00,SquareTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FFFF00,TriangleTarget,DetectNeg,,5761.17,5761.85,5762.95,0.4777061,0.5744573,6,High/P_180717113442/S001/visual_pointer_movement_T010.csv,High/P_180717113442/S001/collision_pointer_movement_T010.csv,High/P_180717113442/S001/tablet_pixels_T010.csv
High,P_180717113442,1,11,3,1,5775.666,5778.73,Baseline,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,SquareTarget,DetectNeg,,5776.57,5777.24,5778.31,0.5394884,0.563055,1,High/P_180717113442/S001/visual_pointer_movement_T011.csv,High/P_180717113442/S001/collision_pointer_movement_T011.csv,High/P_180717113442/S001/tablet_pixels_T011.csv
High,P_180717113442,1,12,3,2,5782.87,5785.52,Baseline,0,FFFF00,SquareTarget,FFFF00|FF00FF|00FFFF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FFFF00,CircleTarget,DetectPos,,5783.84,5784.37,5785.1,0.5685232,0.309192,2,High/P_180717113442/S001/visual_pointer_movement_T012.csv,High/P_180717113442/S001/collision_pointer_movement_T012.csv,High/P_180717113442/S001/tablet_pixels_T012.csv
High,P_180717113442,1,13,3,3,5789.842,5792.26,Baseline,0,00FFFF,SquareTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,TriangleTarget,DetectNeg,,5790.6,5791.07,5791.84,0.5374215,0.3967634,3,High/P_180717113442/S001/visual_pointer_movement_T013.csv,High/P_180717113442/S001/collision_pointer_movement_T013.csv,High/P_180717113442/S001/tablet_pixels_T013.csv
High,P_180717113442,1,14,3,4,5796.2,5798.84,Baseline,0,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FF00FF,CircleTarget,DetectPos,,5796.92,5797.48,5798.39,0.5148316,0.4284811,4,High/P_180717113442/S001/visual_pointer_movement_T014.csv,High/P_180717113442/S001/collision_pointer_movement_T014.csv,High/P_180717113442/S001/tablet_pixels_T014.csv
High,P_180717113442,1,15,3,5,5802.937,5805.37,Baseline,0,FFFF00,TriangleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FFFF00,TriangleTarget,DetectNeg,,5803.61,5804.05,5804.98,0.3147179,0.4371699,5,High/P_180717113442/S001/visual_pointer_movement_T015.csv,High/P_180717113442/S001/collision_pointer_movement_T015.csv,High/P_180717113442/S001/tablet_pixels_T015.csv
High,P_180717113442,1,16,3,6,5809.676,5812.21,Baseline,0,FFFF00,CircleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,CircleTarget,DetectPos,,5810.37,5810.83,5811.68,0.5022817,0.4121137,6,High/P_180717113442/S001/visual_pointer_movement_T016.csv,High/P_180717113442/S001/collision_pointer_movement_T016.csv,High/P_180717113442/S001/tablet_pixels_T016.csv
High,P_180717113442,1,17,3,7,5816.113,5818.63,Baseline,0,FFFF00,TriangleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,SquareTarget,DetectNeg,,5816.81,5817.27,5818.08,0.4402517,0.4324981,7,High/P_180717113442/S001/visual_pointer_movement_T017.csv,High/P_180717113442/S001/collision_pointer_movement_T017.csv,High/P_180717113442/S001/tablet_pixels_T017.csv
High,P_180717113442,1,18,3,8,5822.614,5825.1,Baseline,0,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,SquareTarget,DetectPos,,5823.25,5823.73,5824.7,0.4424106,0.5167097,8,High/P_180717113442/S001/visual_pointer_movement_T018.csv,High/P_180717113442/S001/collision_pointer_movement_T018.csv,High/P_180717113442/S001/tablet_pixels_T018.csv
High,P_180717113442,1,19,3,9,5829.228,5831.45,Baseline,0,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,TriangleTarget,DetectPos,,5830,5830.39,5831.17,0.5419828,0.3426354,9,High/P_180717113442/S001/visual_pointer_movement_T019.csv,High/P_180717113442/S001/collision_pointer_movement_T019.csv,High/P_180717113442/S001/tablet_pixels_T019.csv
