timestamp,log_type,message
2980.068,Log,Setting start & targets for example
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Setting start & targets for practice
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Setting start & targets for baseline
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Setting start & targets for negToPos
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Setting start & targets for posToNeg
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Setting start & targets for random
2980.068,Log,Start color randomised
2980.068,Log,Start sprite randomised
2980.068,Log,Target colors randomised
2980.068,Log,Target sprites randomised
2980.068,Log,Order of blocks:
2980.068,Log,NegToPos
2980.068,Log,Random
2980.068,Log,PosToNeg
2980.068,Log,Sampling Interval: 10
2980.068,Log,Preparing trial number: 1
2990.065,Log,New State: Preparation
2990.065,Log,GAMEBOARD SET TO: PREPARATION
2990.065,Log,Destroying targets
2990.065,Log,Creating targets
3005.4,Log,New State: Waiting
3005.74,Log,New State: Started
3005.74,Log,GAMEBOARD SET TO: PARTONESTART
3006.58,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3007.58,Log,GAMEBOARD SET TO: PARTONEFINISH
3007.905,Log,New State: MiddleStarted
3007.905,Log,GAMEBOARD SET TO: PARTTWOSTART
3009.08,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3009.52,Log,New State: Finished
3009.52,Log,Incorrect
3009.52,Log,GAMEBOARD SET TO: PARTTWOFINISH
3010.521,Log,Preparing trial number: 2
3010.521,Log,New State: Preparation
3010.521,Log,GAMEBOARD SET TO: PREPARATION
3010.521,Log,Destroying targets
3010.521,Log,Creating targets
3016.07,Log,New State: Waiting
3016.415,Log,New State: Started
3016.415,Log,GAMEBOARD SET TO: PARTONESTART
3017.28,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3018.01,Log,New State: Finished
3018.01,Log,Failed: HitObstacle object: Obstacle
3018.01,Log,GAMEBOARD SET TO: PARTTWOFINISH
3019.015,Log,Preparing trial number: 3
3019.015,Log,New State: Preparation
3019.015,Log,GAMEBOARD SET TO: PREPARATION
3019.015,Log,Destroying targets
3019.015,Log,Creating targets
3024.1,Log,New State: Waiting
3024.672,Log,New State: Started
3024.672,Log,GAMEBOARD SET TO: PARTONESTART
3025.94,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3026.71,Log,GAMEBOARD SET TO: PARTONEFINISH
3027.192,Log,New State: MiddleStarted
3027.192,Log,GAMEBOARD SET TO: PARTTWOSTART
3027.59,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3028.05,Log,New State: Finished
3028.05,Log,Correct
3028.05,Log,GAMEBOARD SET TO: PARTTWOFINISH
3029.057,Log,Preparing trial number: 4
3029.057,Log,New State: Preparation
3029.057,Log,GAMEBOARD SET TO: PREPARATION
3029.057,Log,Destroying targets
3029.057,Log,Creating targets
3039.23,Log,New State: Waiting
3039.693,Log,New State: Started
3039.693,Log,GAMEBOARD SET TO: PARTONESTART
3040.41,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3041.01,Log,New State: Finished
3041.01,Log,Failed: TimeoutStartMoved object: VisualPointer
3041.01,Log,GAMEBOARD SET TO: PARTTWOFINISH
3042.012,Log,Preparing trial number: 5
3052.019,Log,New State: Preparation
3052.019,Log,GAMEBOARD SET TO: PREPARATION
3052.019,Log,Destroying targets
3052.019,Log,Creating targets
3055.88,Log,New State: Waiting
3056.344,Log,New State: Started
3056.344,Log,GAMEBOARD SET TO: PARTONESTART
3056.86,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3057.57,Log,GAMEBOARD SET TO: PARTONEFINISH
3058.172,Log,New State: MiddleStarted
3058.172,Log,GAMEBOARD SET TO: PARTTWOSTART
3058.85,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3059.38,Log,New State: Finished
3059.38,Log,Correct
3059.38,Log,GAMEBOARD SET TO: PARTTWOFINISH
3060.38,Log,Preparing trial number: 6
3062.381,Log,New State: Preparation
3062.381,Log,GAMEBOARD SET TO: PREPARATION
3062.381,Log,Destroying targets
3062.381,Log,Creating targets
3065.19,Log,New State: Waiting
3065.721,Log,New State: Started
3065.721,Log,GAMEBOARD SET TO: PARTONESTART
3066.21,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3066.82,Log,GAMEBOARD SET TO: PARTONEFINISH
3067.21,Log,New State: MiddleStarted
3067.21,Log,GAMEBOARD SET TO: PARTTWOSTART
3067.55,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3068.03,Log,New State: Finished
3068.03,Log,Correct
3068.03,Log,GAMEBOARD SET TO: PARTTWOFINISH
3069.031,Log,Preparing trial number: 7
3071.039,Log,New State: Preparation
3071.039,Log,GAMEBOARD SET TO: PREPARATION
3071.039,Log,Destroying targets
3071.039,Log,Creating targets
3073.37,Log,New State: Waiting
3073.788,Log,New State: Started
3073.788,Log,GAMEBOARD SET TO: PARTONESTART
3074.13,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3074.64,Log,GAMEBOARD SET TO: PARTONEFINISH
3075.14,Log,New State: MiddleStarted
3075.14,Log,GAMEBOARD SET TO: PARTTWOSTART
3075.22,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3075.75,Log,New State: Finished
3075.75,Log,Correct
3075.75,Log,GAMEBOARD SET TO: PARTTWOFINISH
3076.755,Log,Preparing trial number: 8
3078.752,Log,New State: Preparation
3078.752,Log,GAMEBOARD SET TO: PREPARATION
3078.752,Log,Destroying targets
3078.752,Log,Creating targets
3079.44,Log,New State: Waiting
3079.867,Log,New State: Started
3079.867,Log,GAMEBOARD SET TO: PARTONESTART
3080.53,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3081.2,Log,GAMEBOARD SET TO: PARTONEFINISH
3081.731,Log,New State: MiddleStarted
3081.731,Log,GAMEBOARD SET TO: PARTTWOSTART
3082.05,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3082.41,Log,New State: Finished
3082.41,Log,Correct
3082.41,Log,GAMEBOARD SET TO: PARTTWOFINISH
3083.413,Log,Preparing trial number: 9
3085.411,Log,New State: Preparation
3085.411,Log,GAMEBOARD SET TO: PREPARATION
3085.411,Log,Destroying targets
3085.411,Log,Creating targets
3087.29,Log,New State: Waiting
3087.714,Log,New State: Started
3087.714,Log,GAMEBOARD SET TO: PARTONESTART
