time,pos_x,pos_y,pressure
76577.57,1.051504,-69.52229,0.6187683
76577.58,0.9731537,-69.52229,0.6197459
76577.59,0.8948035,-69.52229,0.6187683
76577.6,0.8220512,-69.52229,0.6197459
76577.61,0.7548967,-69.53998,0.6197459
76577.62,0.7157216,-69.53998,0.6207234
76577.63,0.6821396,-69.53998,0.6236559
76577.64,0.6821396,-69.53998,0.6236559
76577.65,0.6541601,-69.53998,0.6226784
76577.66,0.6541601,-69.53998,0.6226784
76577.67,0.6541601,-69.53998,0.6226784
76577.68,0.6541601,-69.53998,0.6226784
76577.69,0.6541601,-69.53998,0.6246334
76577.7,0.6541601,-69.53998,0.6246334
76577.71,0.6261759,-69.53998,0.6246334
76577.72,0.6261759,-69.53998,0.6256109
76577.73,0.5925986,-69.57536,0.6256109
76577.73,0.5646144,-69.57536,0.6256109
76577.75,0.5646144,-69.57536,0.627566
76577.76,0.5366349,-69.57536,0.6285435
76577.77,0.5366349,-69.57536,0.629521
76577.78,0.5030577,-69.57536,0.629521
76577.79,0.4638826,-69.61073,0.629521
76577.8,0.4247075,-69.61073,0.629521
76577.8,0.3967233,-69.61073,0.631476
76577.82,0.3967233,-69.61073,0.631476
76577.83,0.363146,-69.61073,0.6304985
76577.84,0.3351618,-69.62841,0.6334311
76577.85,0.3071823,-69.62841,0.6334311
76577.86,0.2736003,-69.62841,0.6334311
76577.87,0.2456208,-69.62841,0.6353861
76577.88,0.2456208,-69.62841,0.6373411
76577.89,0.2176366,-69.62841,0.6373411
76577.9,0.2176366,-69.62841,0.6402737
76577.91,0.2176366,-69.62841,0.6402737
76577.92,0.1840593,-69.62841,0.6402737
76577.93,0.1840593,-69.62841,0.6422287
76577.94,0.1840593,-69.62841,0.6422287
76577.95,0.1560751,-69.62841,0.6412512
76577.96,0.1560751,-69.62841,0.6432062
76577.97,0.1560751,-69.62841,0.6441838
76577.98,0.2344252,-69.55766,0.6441838
76577.98,0.3575482,-69.41617,0.6461388
76578,0.6037894,-69.16855,0.6500489
76578.01,0.9619628,-68.77943,0.6549364
76578.02,1.448852,-68.24883,0.6617791
76578.03,2.019685,-67.4883,0.6666667
76578.04,2.652079,-66.44477,0.6715543
76578.05,3.368421,-65.11825,0.6764418
76578.05,4.107149,-63.52642,0.6783969
76578.07,4.862667,-61.6693,0.6803519
76578.08,5.601395,-59.52919,0.6823069
76578.09,6.272964,-57.2122,0.6852395
76578.1,6.961327,-54.64759,0.6871945
76578.11,7.929508,-50.36736,0.6930596
76578.12,8.23731,-48.79322,0.6969697
76578.13,9.143925,-43.62864,0.7086999
76578.14,9.440541,-41.7892,0.7126099
76578.15,10.03935,-37.89809,0.7233627
76578.16,10.97956,-31.7961,0.7262952
76578.17,11.29296,-29.67367,0.7272727
76578.18,11.88617,-25.48187,0.7282503
76578.19,12.33389,-21.36082,0.7272727
76578.2,12.67527,-15.54182,0.7282503
76578.21,12.6249,-11.88063,0.7282503
76578.22,12.43462,-8.449368,0.7311828
76578.23,12.12682,-5.018108,0.7321603
76578.23,11.94774,-3.231724,0.7331378
76578.25,11.47204,2.286593,0.7380254
76578.26,11.23139,6.266145,0.7419355
76578.27,11.0635,10.35182,0.7487781
76578.28,10.90121,14.41981,0.7526882
76578.29,10.83405,16.38306,0.7536657
76578.3,10.56542,21.93675,0.7556207
76578.3,10.36395,25.22651,0.7556207
76578.32,10.14568,28.39247,0.7556207
76578.33,9.86587,31.45231,0.7565982
76578.34,9.541273,34.5652,0.7575758
76578.35,9.143925,37.71347,0.7565982
76578.36,8.662638,40.73794,0.7565982
76578.37,8.136574,43.7624,0.7575758
76578.38,7.627298,46.64537,0.7565982
76578.39,7.392247,47.98958,0.7575758
76578.4,6.743065,51.79227,0.7585533
76578.41,6.373701,53.98544,0.7585533
76578.42,6.194614,54.97591,0.7595308
76578.43,5.66855,57.75275,0.7595308
76578.44,5.377535,59.32689,0.7585533
76578.45,5.103314,60.83027,0.7585533
76578.46,4.873862,62.19217,0.7585533
76578.47,4.672389,63.46563,0.7575758
76578.48,4.504498,64.66834,0.7585533
76578.48,4.375777,65.71187,0.7585533
76578.5,4.247061,66.63159,0.7585533
76578.51,4.118345,67.39212,0.7575758
76578.52,3.956047,67.95811,0.7575758
76578.53,3.799347,68.36491,0.7565982
76578.54,3.659435,68.66558,0.7575758
76578.55,3.508332,68.9132,0.7585533
76578.55,3.402003,69.10776,0.7585533
76578.57,3.312457,69.30231,0.7605083
76578.58,3.27888,69.47917,0.7605083
76578.59,3.239705,69.63837,0.7595308
76578.6,3.189339,69.83292,0.7605083
76578.61,3.150164,70.02748,0.7605083
76578.62,3.12218,70.27509,0.7595308
76578.63,3.049427,70.55809,0.7614858
76578.64,2.982268,70.84108,0.7614858
76578.65,2.892727,71.10638,0.7614858
76578.66,2.7808,71.354,0.7614858
76578.67,2.685661,71.53086,0.7614858
76578.68,2.612904,71.67236,0.7614858
76578.69,2.55694,71.77848,0.7634408
76578.7,2.506574,71.86692,0.7634408
76578.71,2.467399,71.97303,0.7634408
76578.72,2.467399,72.0261,0.7644184
76578.73,2.433822,72.07915,0.7644184
76578.73,2.433822,72.07915,0.7624633
76578.75,2.433822,72.11452,0.7634408
76578.76,2.433822,72.11452,0.7624633
76578.77,2.433822,72.11452,0.7614858
76578.78,2.433822,72.11452,0.7624633
76578.79,2.433822,72.11452,0.7634408
76578.8,2.433822,72.11452,0.7634408
76578.8,2.433822,72.11452,0.7634408
76578.82,2.433822,72.11452,0.7634408
76578.83,2.433822,72.11452,0.7634408
76578.84,2.433822,72.11452,0.7644184
76578.85,2.433822,72.11452,0.7644184
76578.86,2.433822,72.11452,0.7644184
76578.87,2.433822,72.11452,0.7644184
76578.88,2.433822,72.11452,0.7644184
76578.89,2.433822,72.11452,0.7644184
76578.9,2.433822,72.11452,0.7653959
76578.91,2.433822,72.11452,0.7644184
76578.92,2.433822,72.11452,0.7644184
76578.93,2.433822,72.11452,0.7653959
76578.94,2.405838,72.11452,0.7653959
76578.95,2.405838,72.11452,0.7634408
76578.96,2.405838,72.11452,0.7653959
76578.97,2.405838,72.11452,0.7653959
76578.98,2.405838,72.11452,0.7644184
76578.98,2.377858,72.11452,0.7644184
76579,2.377858,72.14991,0.7634408
76579.01,2.344276,72.14991,0.7614858
76579.02,2.305101,72.14991,0.7624633
76579.03,2.305101,72.14991,0.7634408
76579.04,2.277122,72.14991,0.7634408
76579.05,2.243544,72.14991,0.7644184
76579.05,2.21556,72.14991,0.7644184
76579.07,2.187576,72.14991,0.7634408
76579.08,2.148401,72.14991,0.7634408
76579.09,2.114824,72.14991,0.7634408
76579.1,2.075649,72.14991,0.7624633
76579.11,2.019685,72.14991,0.7634408
76579.12,1.986108,72.14991,0.7644184
76579.13,1.986108,72.14991,0.7644184
76579.14,1.958123,72.14991,0.7634408
76579.15,1.958123,72.14991,0.7634408
76579.16,1.958123,72.04379,0.7624633
76579.17,1.958123,71.97303,0.7614858
76579.18,1.958123,71.67236,0.7605083
76579.19,1.930144,70.64651,0.7575758
76579.2,1.896562,70.15128,0.7565982
76579.21,1.767846,68.0996,0.7546432
76579.22,1.661516,66.27785,0.7536657
76579.23,1.57197,63.97854,0.7526882
76579.23,1.510409,61.2017,0.7526882
76579.25,1.471234,58.01806,0.7526882
76579.26,1.437657,54.49836,0.7517107
76579.27,1.437657,50.58955,0.7536657
76579.28,1.409677,46.43313,0.7536657
76579.29,1.348116,41.92296,0.7546432
76579.3,1.241781,37.18287,0.7546432
76579.3,1.012329,32.21286,0.7507331
76579.32,0.6429645,27.11902,0.742913
76579.33,0.1392865,21.91906,0.7341154
76579.34,-0.5322827,16.68373,0.7253177
76579.35,-1.2878,11.44841,0.7214077
76579.36,-2.104878,6.389954,0.7214077
76579.37,-2.519011,3.860729,0.7214077
76579.38,-3.850958,-3.302478,0.7243402
76579.39,-4.796752,-7.918761,0.7253177
76579.4,-5.731357,-12.35818,0.7253177
76579.41,-6.671553,-16.74454,0.7243402
76579.42,-7.662121,-21.07783,0.7233627
76579.43,-8.775811,-25.32269,0.7243402
76579.44,-9.990233,-29.51448,0.7233627
76579.45,-11.34457,-33.63554,0.7243402
76579.46,-12.76046,-37.65047,0.7243402
76579.47,-14.17076,-41.59465,0.7233627
76579.48,-15.53628,-45.41503,0.7243402
76579.48,-16.77869,-49.14696,0.7253177
76579.5,-17.96513,-52.64898,0.7253177
76579.51,-19.06763,-55.95642,0.7253177
76579.52,-20.11975,-58.91014,0.7262952
76579.53,-21.1439,-61.45706,0.7262952
76579.54,-22.10089,-63.59718,0.7262952
76579.55,-22.97952,-65.4543,0.7262952
76579.55,-23.72385,-67.02843,0.7253177
76579.57,-24.36184,-68.46107,0.7253177
76579.58,-24.99424,-69.73454,0.7262952
76579.59,-25.64342,-70.8665,0.7243402
76579.6,-26.27022,-71.85696,0.7262952
76579.61,-26.83546,-72.72363,0.7243402
76579.62,-27.32794,-73.4311,0.7243402
76579.63,-27.71409,-74.03246,0.7253177
76579.64,-28.06107,-74.49232,0.7262952
76579.65,-28.38007,-74.89911,0.7262952
