experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180718101428,1,1,1,1,130.9886,133.38,Example,0,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,5,1,Success,FF00FF,CircleTarget,DetectPos0|DetectPos1,,131.35,131.97,132.94,0.5879195,0.5980774,1,High/P_180718101428/S001/visual_pointer_movement_T001.csv,High/P_180718101428/S001/collision_pointer_movement_T001.csv,High/P_180718101428/S001/tablet_pixels_T001.csv
High,P_180718101428,1,2,1,2,135.1898,137.19,Example,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,5,1,Success,FFFF00,SquareTarget,DetectNeg0|DetectNeg1,,135.5,136.01,136.79,0.4055296,0.4288117,2,High/P_180718101428/S001/visual_pointer_movement_T002.csv,High/P_180718101428/S001/collision_pointer_movement_T002.csv,High/P_180718101428/S001/tablet_pixels_T002.csv
High,P_180718101428,1,3,1,3,139.2746,139.81,Example,0,FFFF00,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,5,1,HitObstacle,,,DetectNeg0,Obstacle0,139.62,,,0.4190509,,,High/P_180718101428/S001/visual_pointer_movement_T003.csv,High/P_180718101428/S001/collision_pointer_movement_T003.csv,High/P_180718101428/S001/tablet_pixels_T003.csv
High,P_180718101428,1,4,1,4,142.2632,143.2481,Example,0,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,0.6,1,TimeoutStartMoved,,,DetectPos0|DetectPos1,VisualPointer,142.64,,,0.3088802,,,High/P_180718101428/S001/visual_pointer_movement_T004.csv,High/P_180718101428/S001/collision_pointer_movement_T004.csv,High/P_180718101428/S001/tablet_pixels_T004.csv
High,P_180718101428,1,5,2,1,156.9603,159.57,Practice,0,00FFFF,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|CircleTarget|SquareTarget,1,1,WrongTarget,FF00FF,SquareTarget,DetectPos0|DetectPos1,,157.38,157.84,158.93,0.336174,0.3574025,,High/P_180718101428/S001/visual_pointer_movement_T005.csv,High/P_180718101428/S001/collision_pointer_movement_T005.csv,High/P_180718101428/S001/tablet_pixels_T005.csv
High,P_180718101428,1,6,2,2,164.3539,166.61,Practice,0,FF00FF,TriangleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,CircleTarget,DetectPos0|DetectPos1,,164.89,165.35,166.07,0.4981622,0.3251403,1,High/P_180718101428/S001/visual_pointer_movement_T006.csv,High/P_180718101428/S001/collision_pointer_movement_T006.csv,High/P_180718101428/S001/tablet_pixels_T006.csv
High,P_180718101428,1,7,2,3,171.5844,174.44,Practice,0,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,TriangleTarget,DetectPos0|DetectPos1,,172.2,172.86,173.86,0.3476148,0.3692567,2,High/P_180718101428/S001/visual_pointer_movement_T007.csv,High/P_180718101428/S001/collision_pointer_movement_T007.csv,High/P_180718101428/S001/tablet_pixels_T007.csv
High,P_180718101428,1,8,2,4,178.7292,181.19,Practice,0,FF00FF,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FF00FF,SquareTarget,DetectPos0|DetectPos1,,179.24,179.83,180.65,0.3053696,0.4576812,3,High/P_180718101428/S001/visual_pointer_movement_T008.csv,High/P_180718101428/S001/collision_pointer_movement_T008.csv,High/P_180718101428/S001/tablet_pixels_T008.csv
High,P_180718101428,1,9,2,5,185.4365,186.39,Practice,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,MiddleMovedEarly,,,DetectPos0|DetectPos1,IntermediateCircle,185.86,186.36,,0.5106884,,,High/P_180718101428/S001/visual_pointer_movement_T009.csv,High/P_180718101428/S001/collision_pointer_movement_T009.csv,High/P_180718101428/S001/tablet_pixels_T009.csv
High,P_180718101428,1,10,2,6,192.231,195.03,Practice,0,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,00FFFF,TriangleTarget,DetectPos0|DetectPos1,,192.68,193.31,194.29,0.3052169,0.4165858,4,High/P_180718101428/S001/visual_pointer_movement_T010.csv,High/P_180718101428/S001/collision_pointer_movement_T010.csv,High/P_180718101428/S001/tablet_pixels_T010.csv
High,P_180718101428,1,11,3,1,215.9451,218.54,Baseline,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,SquareTarget,DetectPos0|DetectPos1,,216.48,217.07,217.92,0.5021271,0.3759058,1,High/P_180718101428/S001/visual_pointer_movement_T011.csv,High/P_180718101428/S001/collision_pointer_movement_T011.csv,High/P_180718101428/S001/tablet_pixels_T011.csv
High,P_180718101428,1,12,4,1,232.2035,235.21,PosToNeg,0.9,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,0.8,1,Success,00FFFF,CircleTarget,DetectPos0|DetectNeg1,,232.76,233.21,234.49,0.3755848,0.4570082,2,High/P_180718101428/S001/visual_pointer_movement_T012.csv,High/P_180718101428/S001/collision_pointer_movement_T012.csv,High/P_180718101428/S001/tablet_pixels_T012.csv
High,P_180718101428,1,13,4,2,237.2413,239.7,PosToNeg,0.8357143,FF00FF,TriangleTarget,FF00FF|FFFF00|00FFFF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,FF00FF,CircleTarget,DetectPos0|DetectNeg1,,237.77,238.19,239.08,0.3545713,0.4243661,3,High/P_180718101428/S001/visual_pointer_movement_T013.csv,High/P_180718101428/S001/collision_pointer_movement_T013.csv,High/P_180718101428/S001/tablet_pixels_T013.csv
High,P_180718101428,1,14,4,3,242.9119,245.4,PosToNeg,0.7714285,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,CircleTarget|TriangleTarget|SquareTarget,0.8,1,Success,FFFF00,TriangleTarget,DetectPos0|DetectNeg1,,243.4,243.83,244.72,0.5071363,0.5037004,4,High/P_180718101428/S001/visual_pointer_movement_T014.csv,High/P_180718101428/S001/collision_pointer_movement_T014.csv,High/P_180718101428/S001/tablet_pixels_T014.csv
High,P_180718101428,1,15,4,4,247.6387,250.77,PosToNeg,0.7071428,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,0.8,1,Success,FF00FF,CircleTarget,DetectPos0|DetectNeg1,,248.2,248.8,249.94,0.4222841,0.4266292,5,High/P_180718101428/S001/visual_pointer_movement_T015.csv,High/P_180718101428/S001/collision_pointer_movement_T015.csv,High/P_180718101428/S001/tablet_pixels_T015.csv
High,P_180718101428,1,16,4,5,253.0518,255.49,PosToNeg,0.6428571,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,0.8,1,Success,FFFF00,TriangleTarget,DetectPos0|DetectNeg1,,253.54,254.03,254.88,0.4970918,0.3640593,6,High/P_180718101428/S001/visual_pointer_movement_T016.csv,High/P_180718101428/S001/collision_pointer_movement_T016.csv,High/P_180718101428/S001/tablet_pixels_T016.csv
High,P_180718101428,1,17,4,6,257.7818,260.45,PosToNeg,0.5785714,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,0.8,1,Success,FFFF00,SquareTarget,DetectPos0|DetectNeg1,,258.27,258.87,259.76,0.4707134,0.527958,7,High/P_180718101428/S001/visual_pointer_movement_T017.csv,High/P_180718101428/S001/collision_pointer_movement_T017.csv,High/P_180718101428/S001/tablet_pixels_T017.csv
High,P_180718101428,1,18,4,7,262.808,265.63,PosToNeg,0.5142857,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,0.8,1,Success,FFFF00,SquareTarget,DetectPos0|DetectNeg1,,263.2,263.9,264.86,0.5774254,0.4554349,8,High/P_180718101428/S001/visual_pointer_movement_T018.csv,High/P_180718101428/S001/collision_pointer_movement_T018.csv,High/P_180718101428/S001/tablet_pixels_T018.csv
High,P_180718101428,1,19,4,8,267.65,270.53,PosToNeg,0.45,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,FFFF00,CircleTarget,DetectPos0|DetectNeg1,,268.11,268.87,269.9,0.4517584,0.4543043,9,High/P_180718101428/S001/visual_pointer_movement_T019.csv,High/P_180718101428/S001/collision_pointer_movement_T019.csv,High/P_180718101428/S001/tablet_pixels_T019.csv
High,P_180718101428,1,20,4,9,273.4767,274.76,PosToNeg,0.3857143,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,MiddleMovedEarly,,,DetectPos0|DetectNeg1,IntermediateCircle,273.98,274.66,,0.5763834,,,High/P_180718101428/S001/visual_pointer_movement_T020.csv,High/P_180718101428/S001/collision_pointer_movement_T020.csv,High/P_180718101428/S001/tablet_pixels_T020.csv
High,P_180718101428,1,21,4,10,277.4605,278.9866,PosToNeg,0.3214286,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,TimeoutStartMoved,,,DetectPos0|DetectNeg1,VisualPointer,278.18,,,0.430378,,,High/P_180718101428/S001/visual_pointer_movement_T021.csv,High/P_180718101428/S001/collision_pointer_movement_T021.csv,High/P_180718101428/S001/tablet_pixels_T021.csv
High,P_180718101428,1,22,4,11,281.5513,284.17,PosToNeg,0.2571428,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,00FFFF,SquareTarget,DetectPos0|DetectNeg1,,281.99,282.79,283.58,0.3439028,0.4246225,10,High/P_180718101428/S001/visual_pointer_movement_T022.csv,High/P_180718101428/S001/collision_pointer_movement_T022.csv,High/P_180718101428/S001/tablet_pixels_T022.csv
High,P_180718101428,1,23,4,12,287.0522,289.91,PosToNeg,0.1928571,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,FFFF00,SquareTarget,DetectPos0|DetectNeg1,,287.56,288.36,289.35,0.4252451,0.5002538,11,High/P_180718101428/S001/visual_pointer_movement_T023.csv,High/P_180718101428/S001/collision_pointer_movement_T023.csv,High/P_180718101428/S001/tablet_pixels_T023.csv
High,P_180718101428,1,24,4,13,291.9459,294.68,PosToNeg,0.1285714,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,Success,FF00FF,SquareTarget,DetectPos0|DetectNeg1,,292.38,293.13,294.08,0.3877659,0.5350685,12,High/P_180718101428/S001/visual_pointer_movement_T024.csv,High/P_180718101428/S001/collision_pointer_movement_T024.csv,High/P_180718101428/S001/tablet_pixels_T024.csv
